pl_name,disc_year,discoverymethod,pl_rade,pl_bmasse,pl_orbper,sy_dist,pl_eqt,st_teff,sy_snum
Kepler-1842 b,2021.0,Transit,2.34,,14.02635723,923.551,822.0,5970,1
Kepler-1843 b,2021.0,Transit,1.92,,25.5434289,784.625,770.0,5491,1
Kepler-1844 b,2021.0,Transit,1.92,,3.9245216,1804.36,1077.0,5787,1
Kepler-1845 b,2021.0,Transit,1.88,,11.60653061,710.724,584.0,4703,1
Kepler-1846 b,2021.0,Transit,3.02,,14.82022,374.615,947.0,4852,1
Kepler-1847 b,2021.0,Transit,,,11.1296971,1693.86,,5892,1
Kepler-1848 b,2021.0,Transit,1.25,,5.60402307,309.696,774.0,4847,1
Kepler-1849 b,2021.0,Transit,2.13,,57.293155,631.884,355.0,4806,1
Kepler-185 b,2014.0,Transit,1.16,,1.632918853,466.735,1282.0,5205,1
Kepler-185 c,2014.0,Transit,1.757,,,466.735,,5037,1
Kepler-1850 b,2021.0,Transit,0.54,,1.385785956,250.199,989.0,4189,1
Kepler-1851 b,2021.0,Transit,5.4,,12.02298,1589.81,793.0,6002,1
Kepler-1852 b,2021.0,Transit,1.88,,7.97098825,772.481,761.0,5237,1
Kepler-1853 b,2021.0,Transit,1.38,,48.8874292,562.348,385.0,4930,1
Kepler-1854 b,2021.0,Transit,0.0,0.0, Petigura 2018</a>,+37d23m13.17s,0.0, Petigura 2018</a>,1
Kepler-1855 b,2021.0,Transit,0.97,,0.73,,,,1
Kepler-1856 b,2021.0,Transit,1.73447868,,1.302000046,848.76,,4948,1
Kepler-1857 b,2021.0,Transit,1.5,,8.94343618,853.275,946.0,6074,1
Kepler-1858 b,2021.0,Transit,,,88.0712769,833.055,,5058.9,1
Kepler-1859 b,2021.0,Transit,1.23,,2.729679,1331.25,1441.0,6180,1
Kepler-1859 c,2023.0,Transit,1.66,,3.59645081,1331.25,1327.0,5887,1
Kepler-186 b,2014.0,Transit,1.12,,3.886789356,177.594,,3871,1
Kepler-186 c,2014.0,Transit,1.64,,7.267311,177.594,525.0,4031,1
Kepler-186 d,2014.0,Transit,1.28,,13.34295116,177.594,,3876,1
Kepler-186 e,2014.0,Transit,1.41,,22.41,177.594,,,1
