pl_name,disc_year,discoverymethod,pl_rade,pl_bmasse,pl_orbper,sy_dist,pl_eqt,st_teff,sy_snum
11 Com b,2007.0,Radial Velocity,,4914.89848585,323.21,93.1846,,4874,2
11 UMi b,2009.0,Radial Velocity,,3337.07,516.22,125.321,,4340,1
14 And b,2008.0,Radial Velocity,,1017.0,,75.4392,,,1
14 Her b,2002.0,Radial Velocity,,2559.47216157,1765.0389,17.9323,,,1
16 Cyg B b,1996.0,Radial Velocity,,565.7374,798.5,21.1397,,5750,3
17 Sco b,2020.0,Radial Velocity,,1373.01871824,578.38,124.953,,4157,1
18 Del b,2008.0,Radial Velocity,,3127.3,,76.222,,,2
1RXS J160929.1-210524 b,2008.0,Imaging,,3000.0,,139.135,1800.0,3993,1
24 Boo b,2018.0,Radial Velocity,,289.2253,30.3506,95.9863,,4893,1
24 Sex b,2010.0,Radial Velocity,,632.46,452.8,72.0691,,5098,1
24 Sex c,2010.0,Radial Velocity,,273.32,883,72.0691,,5098,1
2M0437 b,2021.0,Imaging,,1271.313628,,128.484,1450.0,3100,1
2MASS J01033563-5515561 AB b,2013.0,Imaging,,4131.79,,,,,2
2MASS J01225093-2439505 b,2013.0,Imaging,11.209,,,33.8281,1600.0,3309,1
2MASS J02192210-3925225 b,2015.0,Imaging,16.14096,4417.837,,,,3064,1
2MASS J0249-0557 c,2018.0,Imaging,,3686.8095212,,66.0613,,,2
2MASS J03590986+2009361 b,2024.0,Imaging,0.0,, Mugrauer 2024</a>,20.1599759,,,1
2MASS J04414489+2301513 b,2010.0,Imaging,,2383.6,,,,,1
2MASS J11011926-7732383 b,2024.0,Imaging,0.0,, Mugrauer 2024</a>,-77.5440912,,,1
2MASS J11550485-7919108 b,2024.0,Imaging,0.0,, Mugrauer 2024</a>,-79.3197558,,,1
2MASS J12073346-3932539 b,2004.0,Imaging,,1589.15,,64.308,1250.0,,1
2MASS J19383260+4603591 b,2015.0,Eclipse Timing Variations,,603.877,416,396.332,,,2
2MASS J21252752-8138278 b,2024.0,Imaging,0.0,, Mugrauer 2024</a>,-81.6414894,,,1
2MASS J22362452+4751425 b,2016.0,Imaging,,3972.875,,69.5737,,4045,1
2MASS J22501512+2325342 b,2018.0,Imaging,,9534.85221,,57.2309,1600.0,,1
4 UMa b,2006.0,Radial Velocity,,2511.48007211,270.27,73.4603,,4415,1
47 UMa b,1996.0,Radial Velocity,,778.6835,1076.6,13.7967,,5882,1
47 UMa c,2001.0,Radial Velocity,0.0,, Fischer 2010 </a>,40.4304931,,,1
47 UMa d,2009.0,Radial Velocity,0.0,, Fischer 2010 </a>,40.4304931,,,1
51 Eri b,2015.0,Imaging,,3464.3296363,9100,29.7575,,,3
51 Peg b,1995.0,Radial Velocity,,147.47238085,4.2307969,15.4614,,5760.76,1
55 Cnc B b,2025.0,Radial Velocity,,3.5,6.7994,12.4773,,3286,2
55 Cnc B c,2025.0,Radial Velocity,,5.3,33.747,12.4773,,3286,2
55 Cnc b,1996.0,Radial Velocity,,266.9772,14.653,12.5855,,,2
55 Cnc c,2004.0,Radial Velocity,,56.6,44.3936,12.5855,,5198,2
55 Cnc d,2002.0,Radial Velocity,,918.49,4545,12.5855,,,2
55 Cnc e,2004.0,Radial Velocity,,7.4687,2.79674,12.5855,,5250,2
55 Cnc f,2007.0,Radial Velocity,,45.766,260,12.5855,,5250,2
6 Lyn b,2008.0,Radial Velocity,,597.83523357,919.86,54.6599,,4941,1
61 Vir b,2009.0,Radial Velocity,,5.1,4.215,8.50332,,5577,1
61 Vir c,2009.0,Radial Velocity,,18.2,38.021,8.50332,,5577,1
61 Vir d,2009.0,Radial Velocity,,10.92,123.15,8.50332,,5552,1
7 CMa b,2011.0,Radial Velocity,,587.9855,735.1,19.8101,,4826,1
7 CMa c,2019.0,Radial Velocity,,289.9,,19.8101,,,1
70 Vir b,1996.0,Radial Velocity,,2351.942,116.6926,17.9011,,5439,1
75 Cet b,2012.0,Radial Velocity,,953.49,691.9,82.9613,,4846,2
75 Cet c,2023.0,Radial Velocity,,289.85950718,2051.62,82.9613,,4809,2
8 UMi b,2015.0,Radial Velocity,,524.41687155,93.31,162.552,,4847,1
81 Cet b,2008.0,Radial Velocity,,1274.4,,101.26,,,1
91 Aqr b,2013.0,Radial Velocity,,1017.0,181.4,44.0304,,4665,3
AB Aur b,2022.0,Imaging,,2860.455663,,162.127,,9770,1
AB Pic b,2005.0,Imaging,,4290.5,,50.0475,,,1
AF Lep b,2023.0,Imaging,,1188.67824218,,26.8564,,,1
AT2021ueyL b,2025.0,Microlensing,,425.89006538,4168.69,1040,,3680,1
AU Mic b,2020.0,Transit,,,8.46321,9.7221,,,1
AU Mic c,2021.0,Transit,2.79,,18.858982,9.7221,,,1
AU Mic d,2023.0,Transit Timing Variations,,1.053,12.73596,9.7221,,3678,1
AU Mic e,2025.0,Radial Velocity,,35.2,33.39,9.7221,,3665,1
BD+03 2562 b,2017.0,Radial Velocity,,2034.112,481.9,1070.63,,4095,1
BD+05 4868 A b,2025.0,Transit,,6.2,1.271869,43.5687,1820.0,4596,2
BD+14 4559 b,2009.0,Radial Velocity,,330.5432,268.94,49.352,,4864,1
BD+15 2375 b,2016.0,Radial Velocity,,337.21763,153.22,768.045,,4649,1
BD+15 2940 b,2013.0,Radial Velocity,,352.78,137.48,426.42,,4796,1
BD+20 2457 b,2009.0,Radial Velocity,,17668.1697,379.63,1539.71,,4259,1
BD+20 2457 c,2009.0,Radial Velocity,,3963.17,621.99,1539.71,,4137,1
BD+20 274 b,2012.0,Radial Velocity,,1334.886,578.2,1322.51,,4296,1
BD+20 594 b,2016.0,Transit,2.23,16.3,41.6855,179.461,546.0,5766,1
BD+37 3172 b,2023.0,Radial Velocity,,3368.9811142,1887.76,454.251,,4500,1
BD+42 2315 b,2023.0,Radial Velocity,,174.80562385,123.05,610.715,,4500,1
BD+45 564 b,2021.0,Radial Velocity,,432.24663352,307.88,53.622,,5004,1
BD+48 738 b,2011.0,Radial Velocity,,289.2253,392.6,871.493,,4414,1
BD+48 740 b,2018.0,Radial Velocity,0.0,,w et al. 2018</a>,+48d55m48.21s,,w et al. 2018</a>,1
BD+49 828 b,2015.0,Radial Velocity,,508.5,2590,442.042,,4943,1
BD+55 362 b,2021.0,Radial Velocity,,228.83645304,265.59,52.5697,,5012,1
BD+60 1417 b,2021.0,Imaging,14.68376472,4767.426105,,44.9543,1303.0,4993,1
BD+63 1405 b,2021.0,Radial Velocity,,1258.60049172,1198.48,38.0473,,5000,1
BD-06 1339 b,2013.0,Radial Velocity,,1523.03372634,3.873,20.2695,,,1
BD-06 1339 c,2013.0,Radial Velocity,,53.0,125.94,20.2695,,4324,1
BD-08 2823 b,2009.0,Radial Velocity,,2948.49413174,5.6,41.3342,,,1
BD-08 2823 c,2009.0,Radial Velocity,0.0,,brard et al. 2010 </a>,-09d30m59.65s,,brard et al. 2010 </a>,1
BD-10 3166 b,2000.0,Radial Velocity,,145.56,3.48777,84.4069,,5393,1
BD-11 4672 b,2014.0,Radial Velocity,,206.5895,1634,27.1665,,4550,1
BD-11 4672 c,2020.0,Radial Velocity,,15.37,74.2,27.1665,,4550,1
BD-13 2130 b,2007.0,Radial Velocity,,3368.998,714.3,925.214,,,1
BD-14 3065 b,2024.0,Transit,0.0,0.0,ubjak et al. 2024</a>,-15d38m34.21s,,ubjak et al. 2024</a>,3
BD-17 63 b,2008.0,Radial Velocity,,1620.9,655.6,34.4603,,4714,1
BD-210397 b,2023.0,Radial Velocity,,214.0,1891,23.7324,,4051,1
BD-210397 c,2023.0,Radial Velocity,,1420.69297929,6374,23.7324,,,1
BEBOP-3 b,2025.0,Radial Velocity,,177.34825111,547,119.052,,6033,2
BEBOP-4 AB b,2025.0,Radial Velocity,,8358.8871041,1823.5,234.294,,,2
Barnard b,2024.0,Radial Velocity,,0.299,3.1542,1.82655,438.0,3195,1
Barnard c,2025.0,Radial Velocity,,0.335,4.1244,1.82655,400.0,3195,1
Barnard d,2025.0,Radial Velocity,,0.263,2.3402,1.82655,483.0,3195,1
Barnard e,2025.0,Radial Velocity,,0.193,6.7392,1.82655,340.0,3195,1
CD Cet b,2020.0,Radial Velocity,,3.95,2.2907,8.60715,464.0,3130,1
CD-35 2722 b,2011.0,Imaging,,9852.680617,,22.3896,1800.0,3680,1
CFBDSIR J145829+101343 b,2011.0,Imaging,,3337.1,10037.5,,370.0,580.5,1
CFHTWIR-Oph 98 b,2021.0,Imaging,20.8487041,2479.0615746,8040000,,1800.0,2320,1
CHXR 73 b,2006.0,Imaging,,3994.486,,190.374,,,1
CI Tau c,2024.0,Radial Velocity,,1144.1822652,25.2,157.998,,,1
COCONUTS-2 b,2021.0,Imaging,12.44196858,2002.3189641,402000000,10.8864,434.0,3406,1
CT Cha b,2007.0,Imaging,24.66,5403.0,,190.72,2600.0,,1
CoRoT-1 b,2008.0,Transit,16.7,327.35,1.5089557,787.909,1898.0,5950,1
CoRoT-10 b,2010.0,Transit,10.87273,867.6759,13.2406,338.386,,5075,1
CoRoT-11 b,2010.0,Transit,21.74555811,,2.99328197444,655.037,1681.79,6343,1
CoRoT-12 b,2010.0,Transit,15.064896,277.46559,2.82805268,1126.37,1417.0,,1
CoRoT-13 b,2010.0,Transit,9.92,415.704,4.03519,1148.93,1700.0,5945,1
CoRoT-14 b,2010.0,Transit,11.410762,2437.7561,1.51214,1744.6,1936.0,6035,1
CoRoT-16 b,2011.0,Transit,13.11453,168.13207,5.35227,732.409,,5650,1
CoRoT-17 b,2011.0,Transit,11.43318,765.9703,3.7681,1176.12,,5740,1
CoRoT-18 b,2011.0,Transit,12.845514,1048.839,1.90009,764.889,1487.0,,1
CoRoT-19 b,2011.0,Transit,13.33871,346.4347,3.89713,790.663,1630.0,6090,1
CoRoT-2 b,2008.0,Transit,16.432394,1048.839,1.74299673,213.283,,5625,2
CoRoT-20 b,2011.0,Transit,13.00244,1608.2198,9.24285,844.061,1100.0,5880,1
CoRoT-20 c,2018.0,Radial Velocity,,5403.11,1675,844.061,,,1
CoRoT-21 b,2012.0,Transit,14.5717,705.5826,2.72474,,,6200,1
CoRoT-22 b,2014.0,Transit,4.88,12.2,9.75598,627.158,885.0,5939,1
CoRoT-23 b,2011.0,Transit,13.22662,972.5598,3.6313,1060.97,1710.0,5900,1
CoRoT-24 b,2014.0,Transit,3.7,5.7,5.1134,591.555,1070.0,4950,1
CoRoT-24 c,2014.0,Transit,5.0,28.0,11.759,591.555,850.0,4950,1
CoRoT-25 b,2013.0,Transit,12.10572,93.12419,4.86069,1103.48,,6040,1
CoRoT-26 b,2013.0,Transit,14.12334,184.3414,4.20474,1045.18,,5590,1
CoRoT-27 b,2014.0,Transit,11.287,3302.11,3.57532,1010.28,1500.0,5900,1
CoRoT-28 b,2015.0,Transit,10.704595,152.87623,5.20851,766.183,,5150,1
CoRoT-29 b,2015.0,Transit,10.0881,266.9772,2.85057,806.507,,5260,1
CoRoT-3 b,2008.0,Transit,11.32,6883.91,4.2568,768.771,,6740,1
CoRoT-30 b,2020.0,Transit,0.0,0.0, et al. 2020</a>,+06d50m09.36s,, et al. 2020</a>,1
CoRoT-31 b,2020.0,Transit,0.0,0.0, et al. 2020</a>,-04d25m20.27s,, et al. 2020</a>,1
CoRoT-32 b,2018.0,Transit,6.38913,47.6745,6.71837,576.683,938.0,5970,1
CoRoT-35 b,2022.0,Transit,18.83108758,349.6112477,3.22748,1123.21,1747.0,6390,1
CoRoT-36 b,2022.0,Transit,15.80466279,216.12331676,5.616531,925.958,1567.0,6730,1
CoRoT-4 b,2008.0,Transit,13.00244,232.33373,9.20205,726.412,1058.0,6190,1
CoRoT-5 b,2009.0,Transit,15.558092,151.92274,4.0378962,882.472,,6100,1
CoRoT-6 b,2009.0,Transit,13.282665,940.7768,8.886593,645.294,1025.0,6090,1
CoRoT-7 b,2009.0,Transit,1.528,6.056,0.8535,159.906,,5250,1
CoRoT-7 c,2009.0,Radial Velocity,,13.289,3.697,159.906,,5250,1
CoRoT-7 d,2022.0,Radial Velocity,,17.142,8.966,159.906,,5250,1
CoRoT-8 b,2010.0,Transit,6.38913,69.28694,6.212381,322.037,,5080,1
CoRoT-9 b,2009.0,Transit,11.948794,266.9772,95.272656,412.98,420.0,5625,2
DE CVn b,2018.0,Eclipse Timing Variations,,3823.27330161,4098.1,30.5225,,,2
DENIS-P J082303.1-491201 b,2013.0,Astrometry,,9057.77,246.36,,,,1
DH Tau b,2004.0,Imaging,,3496.0,,134.846,,,1
DMPP-1 b,2019.0,Radial Velocity,,24.27,18.57,62.5388,877.0,6196,1
DMPP-1 c,2019.0,Radial Velocity,,9.6,6.584,62.5388,1239.0,6196,1
DMPP-1 d,2019.0,Radial Velocity,,3.35,2.882,62.5388,1632.0,6196,1
DMPP-1 e,2019.0,Radial Velocity,,4.13,5.516,62.5388,1314.0,6196,1
DMPP-2 b,2019.0,Radial Velocity,,138.89171,5.2072,137.94,1000.0,6500,1
DMPP-3 A b,2019.0,Radial Velocity,,2.58,6.6732,45.23,854.0,5138,2
DMPP-4 b,2023.0,Radial Velocity,,12.2,3.4982,25.3284,,6400,1
DP Leo b,2009.0,Eclipse Timing Variations,,1995.88832,8693,305.684,,,2
DS Tuc A b,2019.0,Transit,5.7,,8.138268,44.0622,850.0,5428,2
EPIC 201170410.02,2020.0,Transit,0.0,0.0, Fors 2020</a>,-04d48m25.21s,, Fors 2020</a>,1
EPIC 201238110 b,2019.0,Transit,2.2,,28.1696,159.259,,,1
EPIC 201427007 b,2021.0,Transit,1.5,,0.72091,706.391,,5633,1
EPIC 201497682 b,2019.0,Transit,0.692,,2.13174,253.026,,,1
EPIC 201595106 b,2021.0,Transit,1.40575209,,0.877183,232.1,,5705,1
EPIC 201615463 c,2019.0,Transit,1.22,,3.80464,476.882,,,1
EPIC 201754305 d,2019.0,Transit,1.03,,2.71578,334.967,,,1
EPIC 201757695.02,2020.0,Transit,0.0,0.0, Fors 2020</a>,+04d36m59.15s,, Fors 2020</a>,1
EPIC 201833600 c,2019.0,Transit,1.0,,3.96151,257.443,,,1
EPIC 201841433 b,2019.0,Transit,1.41,,4.16888,436.488,,,1
EPIC 205950854 c,2019.0,Transit,1.31,,8.050722,243.935,960.6,5502.7,1
EPIC 206024342 b,2019.0,Transit,1.7,,4.50756,369.888,,,1
EPIC 206024342 c,2021.0,Transit,1.16,,0.911618,369.888,,,1
EPIC 206024342 d,2021.0,Transit,2.52,,14.6435,369.888,,,1
EPIC 206032309 b,2019.0,Transit,1.01,,2.87814,161.365,,,1
EPIC 206042996 b,2019.0,Transit,3.32,,5.29853,451.769,,,1
EPIC 206042996 c,2021.0,Transit,1.45,,0.35490972,451.769,,3893,1
EPIC 206215704 b,2019.0,Transit,2.0,,2.25558,109.888,,,1
EPIC 206317286 b,2019.0,Transit,0.96,,1.58252,314.35,,,1
EPIC 206317286 c,2022.0,Transit,2.63,,17.501662,314.35,,4749,1
EPIC 211822797 b,2016.0,Transit,2.2,,21.169619,186.197,,3880,1
EPIC 211945201 b,2018.0,Transit,,,19.491,181.69,,6128,1
EPIC 212297394 b,2019.0,Transit,1.323,,2.28943,418.395,,,1
EPIC 212297394 c,2021.0,Transit,2.29,,5.21378,418.395,,,1
EPIC 212424622 b,2019.0,Transit,2.17,,18.0983,611.804,,,1
EPIC 212499991 b,2019.0,Transit,1.6,,34.885,283.29,,,1
EPIC 212587672 b,2019.0,Transit,1.12,,15.2841,320.07,,,1
EPIC 212587672 c,2021.0,Transit,,,23.226,320.07,,6055,1
EPIC 212624936 b,2021.0,Transit,1.2,,0.578657,561.929,,5765,1
EPIC 212624936 c,2021.0,Transit,2.3,,11.811437,561.929,,5765,1
EPIC 212737443 b,2019.0,Transit,2.586,,13.603,336.25,536.0,4684,1
EPIC 212737443 c,2019.0,Transit,2.69,,65.55,336.25,316.0,4684,1
EPIC 220492298 b,2021.0,Transit,0.99,,0.762406,624.512,,5620,1
EPIC 220554210 c,2019.0,Transit,1.6,,0.70531,496.289,,5499,1
EPIC 220674823 b,2016.0,Transit,1.725,8.21,0.571292,244.59,2300.0,5532,1
EPIC 220674823 c,2016.0,Transit,2.53,,13.341245,244.59,,5590,1
EPIC 228836835 b,2021.0,Transit,1.1,,0.728113,150.124,,3782,1
EPIC 229004835 b,2023.0,Transit,2.332,10.4,16.141132,121.971,804.0,5868,1
EPIC 246851721 b,2018.0,Transit,,,6.1802679,372.632,,6202,2
EPIC 248847494 b,2018.0,Transit,12.44199,4131.79,3650,551.886,183.0,4898,1
EPIC 249893012 b,2020.0,Transit,1.95,8.75,3.5951,321.296,1616.0,5430,1
EPIC 249893012 c,2020.0,Transit,3.67,14.67,15.624,321.296,990.0,5430,1
EPIC 249893012 d,2020.0,Transit,3.94,10.18,35.747,321.296,752.0,5430,1
FU Tau b,2008.0,Imaging,,5085.28,,,2375.0,2838,1
G 192-15 b,2025.0,Radial Velocity,,1.03,2.27476,9.53114,453.6,,1
G 192-15 c,2025.0,Radial Velocity,,14.3,1219,9.53114,55.9,,1
G 196-3 b,2024.0,Imaging,0.0,, Mugrauer 2024</a>,50.3861806,,,1
G 261-6 b,2025.0,Radial Velocity,,1.37,5.4536,10.6267,322.3,,1
G 264-012 b,2021.0,Radial Velocity,,2.5,2.30538,16.009,587.0,3326,1
G 264-012 c,2021.0,Radial Velocity,,3.75,8.0518,16.009,387.0,3326,1
G 268-110 b,2025.0,Radial Velocity,,1.52,1.43263,,534.0,,1
G 9-40 b,2019.0,Transit,,,5.7459996,27.9276,,3348,1
GJ 1002 b,2022.0,Radial Velocity,-0.0013,,rez Mascare&ntilde,00h06m42.35s,-0.039,<a refstr=SU_AACUTE_REZ_MASCARE_NTILDE_O_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221207332S/abstract target=ref>Su&aacute,1
GJ 1002 c,2022.0,Radial Velocity,-0.0021,,rez Mascare&ntilde,00h06m42.35s,-0.015,<a refstr=SU_AACUTE_REZ_MASCARE_NTILDE_O_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221207332S/abstract target=ref>Su&aacute,1
GJ 1061 b,2020.0,Radial Velocity,,1.37,3.204,3.67278,,2953,1
GJ 1061 c,2020.0,Radial Velocity,,1.74,6.689,3.67278,,2953,1
GJ 1061 d,2020.0,Radial Velocity,,1.64,13.031,3.67278,,2953,1
GJ 1132 b,2015.0,Transit,,,1.6289304,12.613,,3270,1
GJ 1132 c,2018.0,Radial Velocity,,2.64,8.929,12.613,300.0,3270,1
GJ 1148 b,2010.0,Radial Velocity,,96.7,41.38,11.0143,,3287,1
GJ 1148 c,2017.0,Radial Velocity,,68.06,532.58,11.0143,,3287,1
GJ 1151 c,2023.0,Radial Velocity,,10.62,389.7,8.03625,,3280,1
GJ 1214 b,2009.0,Transit,2.64,,1.5804049,14.6427,,,1
GJ 1252 b,2020.0,Transit,1.18,1.32,0.5182416,20.373,,3458,1
GJ 1265 b,2018.0,Radial Velocity,,7.4,3.6511,10.2525,,3236,1
GJ 1289 b,2024.0,Radial Velocity,,6.27,111.74,8.35147,150.0,3296,1
GJ 143 b,2019.0,Transit,2.61,22.7,35.61253,16.32,422.0,4640,1
GJ 15 A b,2014.0,Radial Velocity,,3.03,11.4407,3.56228,,3607,2
GJ 15 A c,2018.0,Radial Velocity,,36.0,7600,3.56228,,3607,2
GJ 160.2 b,2014.0,Radial Velocity,,10.2,5.2354,25.8557,,4347,1
GJ 163 b,2013.0,Radial Velocity,,10.6,8.63182,15.1285,,,1
GJ 163 c,2013.0,Radial Velocity,,6.8,25.63058,15.1285,,,1
GJ 163 d,2013.0,Radial Velocity,,29.4,603.95116,15.1285,,,1
GJ 179 b,2009.0,Radial Velocity,,239.00696206,2333,12.356,,3411.78,1
GJ 180 b,2014.0,Radial Velocity,,6.49,17.133,11.9407,,,1
GJ 180 c,2014.0,Radial Velocity,,6.4,24.329,11.9407,,3371,1
GJ 180 d,2020.0,Radial Velocity,,7.56,106.3,11.9407,,,1
GJ 2030 b,2022.0,Radial Velocity,,4.76742611,2.38129,37.0788,,,1
GJ 2030 c,2022.0,Radial Velocity,,4069.15709482,25533.11353,37.0788,,,1
GJ 2056 b,2020.0,Radial Velocity,,16.2,69.971,28.4434,,,1
GJ 2126 b,2025.0,Radial Velocity,,413.1769291,272.7,38.129,,4159,1
GJ 229 A c,2020.0,Radial Velocity,,8.58136699,121.93268,5.75624,,,3
GJ 229 b,2014.0,Radial Velocity,,8.478,526.115,5.75624,,,3
GJ 238 b,2024.0,Transit,0.57637819,,1.74470021864,15.2142,896.0,3445,1
GJ 251 b,2020.0,Radial Velocity,,4.0,14.238,5.58057,351.0,3451,1
GJ 251 c,2025.0,Radial Velocity,,3.88,53.647,5.58057,216.0,3342,1
GJ 27.1 b,2014.0,Radial Velocity,,13.0,15.819,23.6062,,3542,1
GJ 273 b,2017.0,Radial Velocity,,2.89,18.6498,5.921535,,3382,1
GJ 273 c,2017.0,Radial Velocity,,1.18,4.7234,5.921535,,3382,1
GJ 3021 b,2000.0,Radial Velocity,,1071.04,133.71,17.5559,350.0,5540,2
GJ 3082 b,2020.0,Radial Velocity,,8.2,11.949,16.6186,,,1
GJ 3090 b,2022.0,Transit,2.13,3.34,2.8531054,22.4751,693.0,3556,1
GJ 3090 c,2026.0,Radial Velocity,,10.0,15.9407,22.4751,407.2,3707,1
GJ 3138 b,2017.0,Radial Velocity,,1.78,1.22003,28.4712,,3717,1
GJ 3138 c,2017.0,Radial Velocity,,4.18,5.974,28.4712,,3717,1
GJ 3138 d,2017.0,Radial Velocity,,10.5,257.8,28.4712,,3717,1
GJ 317 b,2007.0,Radial Velocity,0.0,, et al. 2012 </a>,-23d27m10.11s,, et al. 2012 </a>,1
GJ 317 c,2018.0,Radial Velocity,,531.72692491,7500,15.1968,,3492.73,1
GJ 3222 b,2022.0,Radial Velocity,,11.44182265,10.66669,18.23817,,,2
GJ 328 b,2013.0,Radial Velocity,,797.74930157,3771,20.5266,,3897,1
GJ 328 c,2023.0,Radial Velocity,,21.4,241.8,20.5266,,3897,1
GJ 3293 b,2015.0,Radial Velocity,,23.54,30.5987,20.1903,,3466,1
GJ 3293 c,2015.0,Radial Velocity,,25.72,123.75,20.1903,,3466,1
GJ 3293 d,2017.0,Radial Velocity,,7.6,48.1345,20.1903,,3466,1
GJ 3293 e,2017.0,Radial Velocity,,3.28,13.2543,20.1903,,3466,1
GJ 3323 b,2017.0,Radial Velocity,,2.02,5.3636,5.37484,,3159,1
GJ 3323 c,2017.0,Radial Velocity,,2.31,40.54,5.37484,,3159,1
GJ 3341 b,2015.0,Radial Velocity,,6.6,14.207,23.619,,3526,1
GJ 338 B b,2020.0,Radial Velocity,-0.005,,lez-&Aacute,09h14m22.00s,,<a refstr=GONZ_AACUTE_LEZ__AACUTE_LVAREZ_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...637A..93G/abstract target=ref>Gonz&aacute,2
GJ 341 b,2025.0,Transit,0.867887,,7.5768334,10.454,629.0,3766,1
GJ 3470 b,2012.0,Radial Velocity,,,3.336665,29.4214,,3552,1
GJ 3473 b,2020.0,Transit,1.264,1.86,1.1980035,27.3644,773.0,3347,2
GJ 3473 c,2020.0,Radial Velocity,,7.41,15.509,27.3644,329.1,3347,2
GJ 3512 b,2019.0,Radial Velocity,,146.20106722,203.69,9.48637,,3081,1
GJ 3512 c,2020.0,Radial Velocity,,63.5656814,1599.6,9.48637,,3081,1
GJ 357 b,2019.0,Transit,1.217,1.84,3.93072,9.44181,525.0,3505,1
GJ 357 c,2019.0,Radial Velocity,,3.4,9.1247,9.44181,401.2,3505,1
GJ 357 d,2019.0,Radial Velocity,,6.1,55.661,9.44181,219.6,3505,1
GJ 3634 b,2010.0,Radial Velocity,,8.4,2.64561,20.3779,,,1
GJ 367 b,2021.0,Transit,0.718,0.546,0.321962,9.41263,1745.0,3522,1
GJ 367 c,2023.0,Radial Velocity,,4.13,11.5301,9.41263,,3522,1
GJ 367 d,2023.0,Radial Velocity,,6.03,34.369,9.41263,,3522,1
GJ 3779 b,2018.0,Radial Velocity,,8.0,3.0232,13.743,,3324,1
GJ 3929 b,2022.0,Transit,1.09728674,,2.61627687236,15.8095,533.23,3352,1
GJ 3929 c,2022.0,Radial Velocity,,5.71,15.04,15.8095,317.0,3384,1
GJ 393 b,2021.0,Radial Velocity,,1.71,7.02679,7.03149,485.0,3579,1
GJ 3942 b,2017.0,Radial Velocity,,7.14,6.905,16.9287,590.0,3867,1
GJ 3988 b,2023.0,Radial Velocity,,3.69,6.9442,9.9105,348.0,3273,1
GJ 3998 b,2016.0,Radial Velocity,,2.5,2.65033,18.1459,,3726,1
GJ 3998 c,2016.0,Radial Velocity,,6.26,13.74,18.1459,,3722,1
GJ 3998 d,2025.0,Radial Velocity,,6.07,41.78,18.1459,,3726,1
GJ 411 b,2019.0,Radial Velocity,,2.35,12.9381,5.675773,,3601,1
GJ 414 A b,2021.0,Radial Velocity,,10.23407471,51.625,11.8893,,4205.93,2
GJ 414 A c,2021.0,Radial Velocity,,58.48042689,744.7,11.8893,,4205.93,2
GJ 422 b,2014.0,Radial Velocity,,9.9,26.161,12.6631,,3323,1
GJ 4274 b,2026.0,Radial Velocity,,2.97,1.6339,7.23556,,3228,1
GJ 4274 c,2026.0,Radial Velocity,,8.39,69.57,7.23556,,3228,1
GJ 4276 b,2019.0,Radial Velocity,,16.57,13.352,21.3362,,3387,1
GJ 433 b,2011.0,Radial Velocity,,5.3,7.3697,9.06456,,3472,1
GJ 433 c,2014.0,Radial Velocity,,45.0,3400,9.06456,,3472,1
GJ 433 d,2020.0,Radial Velocity,,5.223,36.059,9.06456,,,1
GJ 436 b,2004.0,Radial Velocity,,,2.643897528,9.75321,,,1
GJ 463 b,2022.0,Radial Velocity,,1144.1822652,3448,18.3554,,3540,1
GJ 480 b,2020.0,Radial Velocity,,13.2,9.567,14.2358,,,1
GJ 486 b,2021.0,Radial Velocity,1.289,2.77,1.46712127,8.07426,696.3,3317,1
GJ 504 b,2013.0,Imaging,,1271.3,,17.5299,510.0,6234,1
GJ 508.2 b,2025.0,Radial Velocity,,587.98255295,5300,16.6374,,3720,1
GJ 514 b,2022.0,Radial Velocity,,5.2,140.43,7.61778,202.0,3728,1
GJ 536 b,2016.0,Radial Velocity,-1.3e-05,,rez Mascare&ntilde,14h01m02.33s,,<a refstr=SU_AACUTE_REZ_MASCARE_NTILDE_O_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...597A.108S/abstract target=ref>Su&aacute,1
GJ 536 c,2025.0,Radial Velocity,-0.0028,,rez Mascare&ntilde,14h01m02.33s,-0.069,<a refstr=SUAREZ_MASCARENO_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...702A.121S/abstract target=ref>Su&aacute,1
GJ 581 b,2005.0,Radial Velocity,,15.65,5.36874,6.2981,,,1
GJ 581 c,2007.0,Radial Velocity,,6.81,12.9211,6.2981,,3500,1
GJ 581 e,2009.0,Radial Velocity,,1.7,3.149,6.2981,,3396,1
GJ 625 b,2017.0,Radial Velocity,-4.6e-05,,rez Mascare&ntilde,16h25m25.39s,,<a refstr=SU_AACUTE_REZ_MASCARE_NTILDE_O_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...605A..92S/abstract target=ref>Su&aacute,1
GJ 649 b,2009.0,Radial Velocity,,104.244,598.3,10.3796,,3700,1
GJ 667 C b,2012.0,Radial Velocity,,,7.203,7.24396,,,3
GJ 667 C c,2013.0,Radial Velocity,0.0,, Mahadevan 2014</a>,-34.9977651,,,3
GJ 667 C e,2013.0,Radial Velocity,,2.7,62.24,7.24396,,3350,3
